N,P,K,temperature,humidity,ph,rainfall,label
89,54,38,22.56017642869057,80.83037415508015,6.1273343622622924,219.88781278329031,Rice
74,38,42,26.731983631951184,85.09219678148912,6.71010020085602,285.18057381961086,Rice
79,41,41,26.35157271083559,88.05041275324203,6.0882675888237845,251.37577930204077,Rice
68,50,43,23.880359965530758,89.0942672853903,6.743901850006098,209.67944223766077,Rice
74,40,38,21.213179268510256,89.19559512766696,6.605707688969133,245.41944085576958,Rice
76,54,39,25.835612544619597,86.34898250336646,6.803887479071288,258.7441200720325,Rice
84,47,35,21.196877167321595,83.42264170331536,5.827804970138495,218.21583072261274,Rice
76,41,36,20.843151491994615,80.5886304533034,6.232616218761887,268.8087683359299,Rice
71,46,36,23.503827625829928,81.80573678909448,5.512533112435467,265.1927728955563,Rice
87,58,41,26.96889186789197,80.62653148252274,6.1973575176087135,275.21188585748837,Rice
85,45,36,25.64773577979644,83.51226413020399,6.989996335806521,279.4201239486179,Rice
67,46,36,20.969628123590947,88.10600162758584,6.606711283399945,262.9369662321746,Rice
77,36,36,26.949112259114425,81.74463819924279,5.898595034899427,235.24786049639766,Rice
77,40,40,21.05530160677488,87.2324378642364,6.537243690619799,253.08348746884664,Rice
66,52,35,23.74974933134464,84.22524280990307,5.5446198883554585,246.02927689073798,Rice
66,57,36,21.713023363967825,82.83081666185241,5.840807072705714,246.77521343468055,Rice
71,44,42,21.213791938378563,85.47559224774307,5.7379704332070265,272.38504439221737,Rice
71,45,37,20.11923280236122,86.1964348246793,6.009993425539687,244.80993248807286,Rice
69,42,43,24.927031276220312,87.48336145890205,6.050802575489367,259.1999192430094,Rice
64,49,41,23.97924438180265,88.69403960790318,6.1678888541065655,294.67232501395847,Rice
87,49,37,24.123798235349376,88.3005112687718,6.355631922202129,279.4140533599197,Rice
64,36,36,20.380638262179314,87.03648724335402,6.745666874154057,217.8349125356748,Rice
76,46,40,23.24231145121583,86.38289219132919,6.75712126131394,227.2585663110814,Rice
84,43,39,24.730874610946884,87.16647972842256,6.35164578302529,293.9063228976237,Rice
69,51,39,24.746504952799306,81.26865458886658,6.580225447571221,290.0717548987082,Rice
84,40,35,25.62838161827636,84.87139752239788,5.885178700291407,264.6433617597948,Rice
82,38,35,24.368349957088597,89.37001294616992,6.860019266559358,203.62901605343893,Rice
63,48,39,20.687492426659222,81.7750014742062,6.977211054991713,205.19059640770726,Rice
77,40,35,21.95767400359902,81.89077387218457,6.842526869019478,279.2026580308377,Rice
79,51,44,24.175470878515345,81.32477669795779,5.565163184387881,293.9042012002947,Rice
76,42,40,21.535054384570085,85.56181417846997,5.613880986338923,201.00446493095703,Rice
73,43,39,23.9662456552461,82.60683107498453,5.8243015342425055,292.30172365152663,Rice
83,53,36,23.094267986926944,87.08125643178636,6.79319033229027,289.63651823747136,Rice
74,58,43,21.25241429459737,82.72654549733268,7.026447615215924,293.76082524714235,Rice
70,40,43,23.275234323850302,89.30018637905103,5.514792849415168,242.47740938264616,Rice
74,36,42,20.455298279868305,80.69593938870607,6.06291161547108,259.47077780942743,Rice
70,46,42,21.979897811967138,86.4465841597681,7.182747852464635,251.46041860642418,Rice
63,49,41,23.074268565199812,83.51017020497261,6.407398181486263,205.1489508029015,Rice
66,47,37,24.733984261820453,82.1011593090878,5.808076468635412,237.8877020779829,Rice
61,42,36,25.023156515109804,80.34453298412389,6.377630054892634,211.6702288161717,Rice
68,45,39,22.510053682370472,87.20979369636595,6.262338740377396,201.81656598165222,Rice
80,57,35,25.179723433457546,84.492529613204,6.674883370891386,216.49380611128714,Rice
75,36,37,22.083663433527434,87.24888029881747,7.0157492168323845,256.56332303617137,Rice
88,45,44,20.449688496654865,88.51575929496902,6.79083674959371,223.2518623994436,Rice
87,58,38,22.530191557193184,85.88855856330564,6.8294449437621125,209.69722600664227,Rice
69,58,41,20.80201360571661,83.91026937017018,6.440306240416171,226.80998909898597,Rice
89,49,41,22.265937514958985,87.96199327144363,7.0131735751132265,288.8090236023763,Rice
84,45,43,22.380606052219886,83.57526102598737,6.128148385214159,231.10361362192717,Rice
79,48,42,21.151091934955357,86.79042451633828,6.675676774151351,248.53889136660584,Rice
61,42,37,21.34991270335624,83.29278910406528,6.9052070714646,294.38543667815793,Rice
72,57,40,25.21568917265127,89.90926859093786,5.539269694356152,244.88665129989192,Rice
70,59,40,24.80133795324919,86.50535295152929,6.301240984407363,207.37351917322817,Rice
71,41,42,25.171887048848056,82.40878792015144,7.089584280564052,295.0386835306959,Rice
69,55,41,20.298791145745962,86.52845534159461,6.613727408749363,250.7835748349038,Rice
64,36,40,26.54343914680389,87.2737631357944,6.246574646586215,296.2368833107324,Rice
81,49,41,22.57224029726679,86.1108015288947,6.196183224659783,296.2898189949839,Rice
78,45,43,24.93261021735458,86.63558430714158,6.823904930814026,229.850790230369,Rice
87,55,37,24.86274757262822,86.20661438073441,6.05897772130514,251.0070006854733,Rice
82,50,36,23.290771323774173,82.4653193148651,5.811806992644751,242.08517642804227,Rice
60,56,40,20.34695998228727,87.38505392845623,5.515068787276242,272.83195779463836,Rice
86,52,42,23.19275746353408,84.37182281248889,7.131383952161546,222.60662485316277,Rice
86,46,42,22.125615716188925,85.49931360869815,5.926352826976918,267.05592539302376,Rice
